Date,Air Temperature (°C) U23,RH (%) U23,Stream Cave Specific Conductance (um/cm),Stream Cave Water Level (m),"Stream Cave Water Temp, °C",Wolf Creek Specific Conductance (um/cm),Wolf Creek Water Level (m),"Wolf Creek Water Temp, °C",Mesachie II Station Rainfall (mm),San Juan Station Rainfall (mm),Summit Station Rainfall (mm)
07/24/23 12:00:00  AM,12.582,83.525,,,,191.4,0.5,7.983,0.6,0,None
07/24/23 01:00:00  AM,12.292,88.154,,,,191.9,0.501,7.882,1,0.2,0.2
07/24/23 02:00:00  AM,11.565,94.36,,,,191,0.5,7.782,0.2,0.2,0.2
07/24/23 03:00:00  AM,11.175,95.378,,,,191.3,0.494,7.782,0,0.2,0
07/24/23 04:00:00  AM,11.005,96.067,,,,191.5,0.497,7.682,0,0,0.2
07/24/23 05:00:00  AM,10.858,95.395,,,,191.7,0.498,7.682,0.6,0.4,0.4
07/24/23 06:00:00  AM,10.026,95.224,,,,191.3,0.499,7.682,0.6,0.4,0
07/24/23 07:00:00  AM,10.492,97.337,,,,191.4,0.497,7.582,0,0.4,0
07/24/23 08:00:00  AM,10.59,97.013,,,,191.4,0.501,7.582,0,1.2,0.4
07/24/23 09:00:00  AM,11.37,97.778,,,,191.3,0.503,7.682,0.4,0.8,0.4
07/24/23 10:00:00  AM,11.71,97.569,,,,190.8,0.503,7.682,1.8,0.2,1.8
07/24/23 11:00:00  AM,12.147,97.032,,,,189.6,0.501,7.782,4.4,2.6,2.8
07/24/23 12:00:00  PM,12.823,97.721,,,,188.7,0.501,7.882,7.6,7.2,1.4
07/24/23 01:00:00  PM,12.775,97.91,,,,184.1,0.508,7.983,4.8,5.2,4.2
07/24/23 02:00:00  PM,13.786,98.59,,,,178.1,0.506,8.082,8,6,7.6
07/24/23 03:00:00  PM,13.497,97.702,,,,177.5,0.514,8.182,1.8,7.2,9.6
07/24/23 04:00:00  PM,13.786,98.489,,,,174.3,0.523,8.282,2.4,2,0.4
07/24/23 05:00:00  PM,12.992,97.666,89.8,0.553,5.962,182.5,0.534,8.282,1.6,0.2,0
07/24/23 06:00:00  PM,13.064,98.745,106.3,0.59,5.962,189.7,0.542,8.282,0.8,0,0
07/24/23 07:00:00  PM,13.377,97.111,125.2,0.584,6.064,192.3,0.548,8.182,0,0,0
07/24/23 08:00:00  PM,12.534,97.238,142.3,0.585,6.064,192.5,0.567,8.182,0,0,0
07/24/23 09:00:00  PM,11.589,97.687,153.7,0.584,6.064,193.1,0.579,7.983,0,0,0.4
07/24/23 10:00:00  PM,11.37,98.755,162.7,0.587,6.064,194.4,0.587,7.782,0.4,0,0
07/24/23 11:00:00  PM,11.443,98.974,171.3,0.584,6.064,194.5,0.59,7.682,0,0,0.4
07/25/23 12:00:00  AM,11.37,98.979,176.7,0.587,6.064,194.3,0.599,7.582,0,0,None
07/25/23 01:00:00  AM,11.127,98.862,158.7,0.591,6.166,194.6,0.598,7.481,0,0.8,1.4
07/25/23 02:00:00  AM,11.078,99.048,,,,194.1,0.602,7.481,0.2,0.2,0.6
07/25/23 03:00:00  AM,10.834,98.855,,,,193.4,0.602,7.481,0.4,0.4,0.2
07/25/23 04:00:00  AM,10.883,99.192,,,,191.7,0.598,7.481,0.2,0.4,0.6
07/25/23 05:00:00  AM,10.98,99.419,,,,191,0.599,7.481,0.4,0.4,1.6
07/25/23 06:00:00  AM,10.956,99.511,,,,189.7,0.604,7.481,0.2,0.8,0.2
07/25/23 07:00:00  AM,11.078,99.595,,,,189.7,0.604,7.481,0.6,1.6,0
07/25/23 08:00:00  AM,11.273,99.649,,,,187.3,0.606,7.481,0.4,0.8,0.6
07/25/23 09:00:00  AM,11.443,99.697,,,,188.3,0.613,7.481,0.2,0.4,0.6
07/25/23 10:00:00  AM,12.243,99.746,,,,189.1,0.61,7.582,0.4,0,1.4
07/25/23 11:00:00  AM,12.292,99.585,,,,189.5,0.615,7.582,0.2,0.2,0
07/25/23 12:00:00  PM,13.353,99.454,,,,189.2,0.617,7.682,0,0,0.4
07/25/23 01:00:00  PM,13.257,97.662,,,,189.6,0.621,7.682,0.4,0,0
07/25/23 02:00:00  PM,14.242,93.121,,,,190.2,0.628,7.882,0,0,0.8
07/25/23 03:00:00  PM,14.936,88.556,,,,189.6,0.629,8.082,0.2,0,0.2
07/25/23 04:00:00  PM,16.582,74.546,,,,189.7,0.626,8.282,0,0,0
07/25/23 05:00:00  PM,14.912,82.996,,,,190.3,0.628,8.182,0,0,0
07/25/23 06:00:00  PM,15.199,81.278,,,,190.6,0.626,7.983,0,0,0
07/25/23 07:00:00  PM,13.834,87.651,,,,190.5,0.627,7.782,0,0,0
07/25/23 08:00:00  PM,12.847,92.997,,,,190.4,0.628,7.682,0.4,0,0
07/25/23 09:00:00  PM,12.364,94.339,,,,191,0.627,7.582,0,0,0
07/25/23 10:00:00  PM,10.271,94.859,,,,191.3,0.627,7.582,0,0,0
07/25/23 11:00:00  PM,10.516,98.269,,,,191.5,0.625,7.481,0,0,0
07/26/23 12:00:00  AM,10.785,98.692,,,,191.7,0.627,7.481,0,0,None