,date,tip count,precipitation (mm)
186,2023-07-17 15:00:00,1,0.2
232,2023-07-24 01:00:00,1,0.2
212,2023-07-24 02:00:00,1,0.2
211,2023-07-24 04:00:00,1,0.2
121,2023-07-24 05:00:00,3,0.6000000000000001
123,2023-07-24 08:00:00,3,0.6000000000000001
55,2023-07-24 09:00:00,7,1.4000000000000001
127,2023-07-24 10:00:00,3,0.6000000000000001
11,2023-07-24 11:00:00,18,3.6
1,2023-07-24 12:00:00,33,6.6000000000000005
3,2023-07-24 13:00:00,30,6.0
2,2023-07-24 14:00:00,33,6.6000000000000005
0,2023-07-24 15:00:00,45,9.0
144,2023-07-24 16:00:00,2,0.4
210,2023-07-24 17:00:00,1,0.2
146,2023-07-24 22:00:00,2,0.4
209,2023-07-24 23:00:00,1,0.2
208,2023-07-25 00:00:00,1,0.2
145,2023-07-25 01:00:00,2,0.4
26,2023-07-25 02:00:00,12,2.4000000000000004
62,2023-07-25 03:00:00,6,1.2000000000000002
86,2023-07-25 04:00:00,5,1.0
72,2023-07-25 05:00:00,6,1.2000000000000002
59,2023-07-25 06:00:00,7,1.4000000000000001
50,2023-07-25 07:00:00,8,1.6
67,2023-07-25 08:00:00,6,1.2000000000000002
207,2023-07-25 10:00:00,1,0.2
111,2023-07-25 11:00:00,3,0.6000000000000001
206,2023-07-25 12:00:00,1,0.2
205,2023-08-08 18:00:00,1,0.2
92,2023-08-08 19:00:00,4,0.8
117,2023-08-08 20:00:00,3,0.6000000000000001
60,2023-08-08 21:00:00,6,1.2000000000000002
94,2023-08-08 22:00:00,4,0.8
95,2023-08-08 23:00:00,4,0.8
137,2023-08-09 00:00:00,3,0.6000000000000001
51,2023-08-09 01:00:00,8,1.6
38,2023-08-09 02:00:00,9,1.8
17,2023-08-09 03:00:00,14,2.8000000000000003
204,2023-08-09 04:00:00,1,0.2
203,2023-08-09 06:00:00,1,0.2
202,2023-08-09 07:00:00,1,0.2
200,2023-08-09 09:00:00,1,0.2
133,2023-08-09 10:00:00,3,0.6000000000000001
151,2023-08-09 12:00:00,2,0.4
132,2023-08-25 15:00:00,3,0.6000000000000001
188,2023-08-25 16:00:00,1,0.2
199,2023-08-26 06:00:00,1,0.2
198,2023-08-28 13:00:00,1,0.2
161,2023-08-28 14:00:00,2,0.4
197,2023-08-30 19:00:00,1,0.2
135,2023-08-30 20:00:00,3,0.6000000000000001
114,2023-08-30 21:00:00,3,0.6000000000000001
96,2023-08-30 22:00:00,4,0.8
171,2023-08-30 23:00:00,2,0.4
196,2023-08-31 00:00:00,1,0.2
164,2023-08-31 02:00:00,2,0.4
131,2023-08-31 03:00:00,3,0.6000000000000001
153,2023-08-31 04:00:00,2,0.4
126,2023-08-31 05:00:00,3,0.6000000000000001
119,2023-08-31 06:00:00,3,0.6000000000000001
195,2023-09-01 11:00:00,1,0.2
122,2023-09-03 12:00:00,3,0.6000000000000001
194,2023-09-03 13:00:00,1,0.2
193,2023-09-06 04:00:00,1,0.2
192,2023-09-06 05:00:00,1,0.2
191,2023-09-10 18:00:00,1,0.2
124,2023-09-10 19:00:00,3,0.6000000000000001
125,2023-09-10 20:00:00,3,0.6000000000000001
190,2023-09-10 21:00:00,1,0.2
162,2023-09-10 22:00:00,2,0.4
189,2023-09-10 23:00:00,1,0.2
213,2023-09-11 00:00:00,1,0.2
214,2023-09-11 01:00:00,1,0.2
215,2023-09-11 02:00:00,1,0.2
216,2023-09-12 05:00:00,1,0.2
154,2023-09-12 06:00:00,2,0.4
239,2023-09-12 07:00:00,1,0.2
155,2023-09-12 08:00:00,2,0.4
101,2023-09-12 09:00:00,4,0.8
110,2023-09-12 10:00:00,4,0.8
238,2023-09-12 11:00:00,1,0.2
156,2023-09-12 13:00:00,2,0.4
158,2023-09-12 14:00:00,2,0.4
159,2023-09-12 16:00:00,2,0.4
129,2023-09-12 17:00:00,3,0.6000000000000001
237,2023-09-13 07:00:00,1,0.2
160,2023-09-17 15:00:00,2,0.4
104,2023-09-17 16:00:00,4,0.8
130,2023-09-17 17:00:00,3,0.6000000000000001
106,2023-09-17 18:00:00,4,0.8
58,2023-09-17 19:00:00,7,1.4000000000000001
107,2023-09-17 20:00:00,4,0.8
49,2023-09-17 21:00:00,8,1.6
45,2023-09-17 22:00:00,8,1.6
150,2023-09-17 23:00:00,2,0.4
236,2023-09-18 01:00:00,1,0.2
235,2023-09-18 15:00:00,1,0.2
64,2023-09-19 14:00:00,6,1.2000000000000002
84,2023-09-19 15:00:00,5,1.0
75,2023-09-19 16:00:00,5,1.0
234,2023-09-20 09:00:00,1,0.2
71,2023-09-23 09:00:00,6,1.2000000000000002
10,2023-09-23 10:00:00,19,3.8000000000000003
19,2023-09-23 11:00:00,14,2.8000000000000003
32,2023-09-23 12:00:00,10,2.0
163,2023-09-23 13:00:00,2,0.4
233,2023-09-24 15:00:00,1,0.2
165,2023-09-24 16:00:00,2,0.4
166,2023-09-24 17:00:00,2,0.4
42,2023-09-24 18:00:00,8,1.6
6,2023-09-24 19:00:00,20,4.0
13,2023-09-24 20:00:00,17,3.4000000000000004
31,2023-09-24 21:00:00,11,2.2
15,2023-09-24 22:00:00,15,3.0
57,2023-09-24 23:00:00,7,1.4000000000000001
168,2023-09-25 00:00:00,2,0.4
136,2023-09-25 01:00:00,3,0.6000000000000001
54,2023-09-25 02:00:00,7,1.4000000000000001
134,2023-09-25 03:00:00,3,0.6000000000000001
240,2023-09-25 04:00:00,1,0.2
231,2023-09-25 06:00:00,1,0.2
63,2023-09-25 07:00:00,6,1.2000000000000002
34,2023-09-25 08:00:00,10,2.0
9,2023-09-25 09:00:00,19,3.8000000000000003
12,2023-09-25 10:00:00,17,3.4000000000000004
27,2023-09-25 11:00:00,11,2.2
61,2023-09-25 12:00:00,6,1.2000000000000002
25,2023-09-25 13:00:00,12,2.4000000000000004
172,2023-09-25 15:00:00,2,0.4
116,2023-09-25 16:00:00,3,0.6000000000000001
29,2023-09-25 17:00:00,11,2.2
230,2023-09-25 19:00:00,1,0.2
118,2023-09-25 20:00:00,3,0.6000000000000001
229,2023-09-25 22:00:00,1,0.2
83,2023-09-25 23:00:00,5,1.0
85,2023-09-26 00:00:00,5,1.0
112,2023-09-26 01:00:00,3,0.6000000000000001
228,2023-09-26 04:00:00,1,0.2
227,2023-09-26 06:00:00,1,0.2
98,2023-09-26 09:00:00,4,0.8
23,2023-09-26 10:00:00,13,2.6
91,2023-09-26 11:00:00,5,1.0
115,2023-09-26 12:00:00,3,0.6000000000000001
16,2023-09-26 13:00:00,15,3.0
66,2023-09-26 14:00:00,6,1.2000000000000002
226,2023-09-26 15:00:00,1,0.2
56,2023-09-26 16:00:00,7,1.4000000000000001
36,2023-09-26 17:00:00,9,1.8
139,2023-09-26 23:00:00,3,0.6000000000000001
18,2023-09-27 00:00:00,14,2.8000000000000003
22,2023-09-27 01:00:00,13,2.6
69,2023-09-27 02:00:00,6,1.2000000000000002
225,2023-09-27 03:00:00,1,0.2
147,2023-09-27 04:00:00,2,0.4
148,2023-09-27 05:00:00,2,0.4
224,2023-09-27 08:00:00,1,0.2
223,2023-09-27 09:00:00,1,0.2
222,2023-09-27 10:00:00,1,0.2
68,2023-09-27 12:00:00,6,1.2000000000000002
221,2023-09-27 13:00:00,1,0.2
78,2023-09-27 14:00:00,5,1.0
141,2023-09-27 15:00:00,2,0.4
108,2023-09-27 16:00:00,4,0.8
220,2023-09-27 19:00:00,1,0.2
120,2023-09-27 22:00:00,3,0.6000000000000001
70,2023-09-27 23:00:00,6,1.2000000000000002
219,2023-09-28 00:00:00,1,0.2
8,2023-09-28 01:00:00,19,3.8000000000000003
28,2023-09-28 02:00:00,11,2.2
142,2023-09-28 03:00:00,2,0.4
140,2023-09-28 04:00:00,2,0.4
128,2023-09-28 05:00:00,3,0.6000000000000001
218,2023-09-28 13:00:00,1,0.2
217,2023-10-02 07:00:00,1,0.2
201,2023-10-02 08:00:00,1,0.2
187,2023-10-02 09:00:00,1,0.2
43,2023-10-02 11:00:00,8,1.6
89,2023-10-02 12:00:00,5,1.0
44,2023-10-02 13:00:00,8,1.6
35,2023-10-02 14:00:00,10,2.0
40,2023-10-02 15:00:00,9,1.8
46,2023-10-02 16:00:00,8,1.6
76,2023-10-02 17:00:00,5,1.0
93,2023-10-02 18:00:00,4,0.8
149,2023-10-02 19:00:00,2,0.4
182,2023-10-02 23:00:00,1,0.2
177,2023-10-03 08:00:00,1,0.2
143,2023-10-09 05:00:00,2,0.4
30,2023-10-09 06:00:00,11,2.2
73,2023-10-09 07:00:00,6,1.2000000000000002
7,2023-10-09 08:00:00,20,4.0
4,2023-10-09 09:00:00,21,4.2
5,2023-10-09 10:00:00,21,4.2
80,2023-10-09 11:00:00,5,1.0
81,2023-10-09 12:00:00,5,1.0
41,2023-10-09 13:00:00,8,1.6
37,2023-10-09 14:00:00,9,1.8
33,2023-10-09 15:00:00,10,2.0
100,2023-10-09 21:00:00,4,0.8
157,2023-10-09 22:00:00,2,0.4
103,2023-10-09 23:00:00,4,0.8
113,2023-10-10 00:00:00,3,0.6000000000000001
170,2023-10-10 01:00:00,2,0.4
169,2023-10-10 03:00:00,2,0.4
79,2023-10-10 04:00:00,5,1.0
138,2023-10-10 05:00:00,3,0.6000000000000001
109,2023-10-10 06:00:00,4,0.8
21,2023-10-10 07:00:00,13,2.6
20,2023-10-10 08:00:00,13,2.6
105,2023-10-10 09:00:00,4,0.8
47,2023-10-10 10:00:00,8,1.6
180,2023-10-10 11:00:00,1,0.2
179,2023-10-10 14:00:00,1,0.2
14,2023-10-10 15:00:00,17,3.4000000000000004
90,2023-10-10 16:00:00,5,1.0
24,2023-10-10 17:00:00,12,2.4000000000000004
88,2023-10-10 18:00:00,5,1.0
65,2023-10-10 19:00:00,6,1.2000000000000002
97,2023-10-10 20:00:00,4,0.8
152,2023-10-10 21:00:00,2,0.4
87,2023-10-10 22:00:00,5,1.0
77,2023-10-11 01:00:00,5,1.0
82,2023-10-11 02:00:00,5,1.0
185,2023-10-11 03:00:00,1,0.2
178,2023-10-11 05:00:00,1,0.2
181,2023-10-11 07:00:00,1,0.2
74,2023-10-13 18:00:00,5,1.0
53,2023-10-13 19:00:00,8,1.6
39,2023-10-13 20:00:00,9,1.8
52,2023-10-13 21:00:00,8,1.6
167,2023-10-13 22:00:00,2,0.4
184,2023-10-13 23:00:00,1,0.2
99,2023-10-14 00:00:00,4,0.8
175,2023-10-14 02:00:00,1,0.2
183,2023-10-14 06:00:00,1,0.2
102,2023-10-14 07:00:00,4,0.8
176,2023-10-14 11:00:00,1,0.2
174,2023-10-14 12:00:00,1,0.2
173,2023-10-14 13:00:00,1,0.2
48,2023-10-14 14:00:00,8,1.6
